cell	HRD	HR_proficient	HRD_score_sc	sample
BC04_86	BC04_86	0.0659364256200522	-0.0659364256200528	0.131872851240105	BC04
BC04_88	BC04_88	-0.0171729250920169	0.0171729250920166	-0.0343458501840335	BC04
BC04_90	BC04_90	0.0878947358694256	-0.0878947358694261	0.175789471738852	BC04
BC04_91	BC04_91	0.0124736027477639	-0.012473602747764	0.0249472054955279	BC04
BC04_92	BC04_92	0.0396927337585196	-0.0396927337585198	0.0793854675170394	BC04
BC04_93	BC04_93	0.0597869704627971	-0.0597869704627978	0.119573940925595	BC04
BC07_01	BC07_01	0.119622441577705	-0.119622441577705	0.239244883155409	BC07
BC07_06	BC07_06	-0.0136985299047637	0.0136985299047635	-0.0273970598095271	BC07
BC07_08	BC07_08	0.0535479491756184	-0.053547949175618	0.107095898351236	BC07
BC07_12	BC07_12	0.0698430326749338	-0.0698430326749347	0.139686065349869	BC07
BC07_15	BC07_15	0.0260951805495771	-0.026095180549578	0.052190361099155	BC07
BC07_18	BC07_18	-0.0710216070183618	0.0710216070183622	-0.142043214036724	BC07
BC07_20	BC07_20	-0.0586555687716185	0.058655568771618	-0.117311137543237	BC07
BC07_24	BC07_24	0.0951007480043425	-0.0951007480043429	0.190201496008685	BC07
BC07_27	BC07_27	-0.0396022125885312	0.0396022125885314	-0.0792044251770626	BC07
BC07_31	BC07_31	0.176277927688905	-0.176277927688906	0.352555855377812	BC07
BC07_35	BC07_35	0.0257192643009189	-0.0257192643009196	0.0514385286018385	BC07
BC07_36	BC07_36	0.0406856652685776	-0.0406856652685791	0.0813713305371567	BC07
BC07_38	BC07_38	0.0399299117041176	-0.039929911704118	0.0798598234082356	BC07
BC07_39	BC07_39	-0.0237007864728497	0.0237007864728496	-0.0474015729456993	BC07
BC07_43	BC07_43	-0.00719061468916018	0.00719061468915953	-0.0143812293783197	BC07
BC07_57	BC07_57	0.0829370972033488	-0.0829370972033499	0.165874194406699	BC07
BC07_59	BC07_59	-0.0707122604883437	0.0707122604883431	-0.141424520976687	BC07
BC07_65	BC07_65	0.0609767324137082	-0.0609767324137082	0.121953464827416	BC07
BC07_66	BC07_66	0.104933835784577	-0.104933835784578	0.209867671569155	BC07
BC07_67	BC07_67	0.0674182353682837	-0.0674182353682847	0.134836470736568	BC07
BC07_72	BC07_72	0.0480332381647717	-0.0480332381647726	0.0960664763295443	BC07
BC07_73	BC07_73	0.0684814050275994	-0.0684814050275992	0.136962810055199	BC07
BC07_75	BC07_75	0.0465164515175773	-0.0465164515175778	0.0930329030351551	BC07
BC07_78	BC07_78	-0.053891551364393	0.0538915513643922	-0.107783102728785	BC07
BC07_87	BC07_87	0.0461190237879309	-0.0461190237879315	0.0922380475758623	BC07
BC07_89	BC07_89	-0.0831817222633737	0.0831817222633735	-0.166363444526747	BC07
BC07LN_02	BC07LN_02	-0.0459363511956182	0.0459363511956181	-0.0918727023912363	BC07LN
BC07LN_06	BC07LN_06	-0.120317608930391	0.120317608930391	-0.240635217860783	BC07LN
BC07LN_13	BC07LN_13	0.0523791603621189	-0.052379160362118	0.104758320724237	BC07LN
BC07LN_15	BC07LN_15	0.00858048917492968	-0.00858048917492959	0.0171609783498593	BC07LN
BC07LN_23	BC07LN_23	-0.0226224855035316	0.0226224855035303	-0.0452449710070619	BC07LN
BC07LN_26	BC07LN_26	0.0074437481808215	-0.00744374818082236	0.0148874963616439	BC07LN
BC07LN_29	BC07LN_29	0.0734663379276493	-0.0734663379276502	0.1469326758553	BC07LN
BC07LN_30	BC07LN_30	0.0362866809158497	-0.0362866809158501	0.0725733618316998	BC07LN
BC07LN_31	BC07LN_31	-0.0148991148691664	0.0148991148691656	-0.029798229738332	BC07LN
BC07LN_34	BC07LN_34	-0.00592476588674659	0.00592476588674621	-0.0118495317734928	BC07LN
BC07LN_35	BC07LN_35	0.0554130565352476	-0.0554130565352486	0.110826113070496	BC07LN
BC07LN_36	BC07LN_36	-0.0200079845671585	0.0200079845671574	-0.0400159691343159	BC07LN
BC07LN_40	BC07LN_40	0.0280782498335944	-0.0280782498335955	0.0561564996671899	BC07LN
BC07LN_41	BC07LN_41	0.00843345652439292	-0.00843345652439371	0.0168669130487866	BC07LN
BC07LN_42	BC07LN_42	-0.00238696143468289	0.00238696143468274	-0.00477392286936564	BC07LN
BC07LN_51	BC07LN_51	0.154215879374063	-0.154215879374063	0.308431758748126	BC07LN
BC07LN_52	BC07LN_52	0.0642878609768159	-0.0642878609768161	0.128575721953632	BC07LN
BC07LN_57	BC07LN_57	0.0496036761781439	-0.049603676178144	0.0992073523562879	BC07LN
BC07LN_60	BC07LN_60	-0.0500506628984656	0.0500506628984657	-0.100101325796931	BC07LN
BC07LN_73	BC07LN_73	0.016400293037887	-0.0164002930378876	0.0328005860757746	BC07LN
BC07LN_75	BC07LN_75	-0.0359804775974617	0.0359804775974612	-0.0719609551949229	BC07LN
BC07LN_79	BC07LN_79	-0.0477096271337776	0.0477096271337776	-0.0954192542675552	BC07LN
BC07LN_82	BC07LN_82	0.020438418199148	-0.0204384181991486	0.0408768363982967	BC07LN
