Pheno	AUC	sample_size	indel_prop
SBS5	0.961422440779064	50	0
SBS5	0.958929526801671	50	0
SBS5	0.955412127628089	50	0
SBS5	0.95162153240219	50	0
SBS5	0.950153103620986	50	0
SBS5	0.97161037689672	50	0
SBS5	0.968753201516238	50	0
SBS5	0.952384204714908	50	0
SBS5	0.956425229655432	50	0
SBS5	0.961855001195233	50	0
SBS5	0.95807578913818	50	0
SBS5	0.956459379161971	50	0
SBS5	0.96762626780043	50	0
SBS5	0.964154401302235	50	0
SBS5	0.956504911837357	50	0
SBS5	0.947318694578197	50	0
SBS5	0.95626586529158	50	0
SBS5	0.959703582283236	50	0
SBS5	0.954934034536534	50	0
SBS5	0.965474848888434	50	0
SBS5	0.956675659370055	50	0
SBS5	0.968434472788535	50	0
SBS5	0.961149244726747	50	0
SBS5	0.960227208050177	50	0
SBS5	0.956983004928912	50	0
SBS5	0.956903322746986	50	0
SBS5	0.961843618026386	50	0
SBS5	0.95409168004189	50	0
SBS5	0.952793998793384	50	0
SBS5	0.965804960784983	50	0
SBS5	0.957586312877779	50	0
SBS5	0.956402463317738	50	0
SBS5	0.961183394233287	50	0
SBS5	0.955730856355792	50	0
SBS5	0.959168573347448	50	0
SBS5	0.966032624161914	50	0
SBS5	0.951143439310635	50	0
SBS5	0.965622830083439	50	0
SBS5	0.961786702182153	50	0
SBS5	0.958053022800487	50	0
SBS5	0.959999544673246	50	0
SBS5	0.967717333151203	50	0
SBS5	0.956732575214288	50	0
SBS5	0.958679097087047	50	0
SBS5	0.956277248460426	50	0
SBS5	0.961411057610218	50	0
SBS5	0.96367630821068	50	0
SBS5	0.965440699381894	50	0
SBS5	0.957438331682774	50	0
SBS5	0.956322781135813	50	0
APOBEC	0.995168067226891	50	0.1
APOBEC	0.996376050420168	50	0.1
APOBEC	0.996297268907563	50	0.1
APOBEC	0.994117647058824	50	0.1
APOBEC	0.996796218487395	50	0.1
APOBEC	0.996139705882353	50	0.1
APOBEC	0.996165966386555	50	0.1
APOBEC	0.994196428571429	50	0.1
APOBEC	0.997925420168067	50	0.1
APOBEC	0.998004201680672	50	0.1
APOBEC	0.999185924369748	50	0.1
APOBEC	0.997610294117647	50	0.1
APOBEC	0.996743697478992	50	0.1
APOBEC	0.994721638655462	50	0.1
APOBEC	0.996192226890756	50	0.1
APOBEC	0.994695378151261	50	0.1
APOBEC	0.995430672268908	50	0.1
APOBEC	0.995404411764706	50	0.1
APOBEC	0.997689075630252	50	0.1
APOBEC	0.997636554621849	50	0.1
APOBEC	0.994695378151261	50	0.1
APOBEC	0.995982142857143	50	0.1
APOBEC	0.997006302521008	50	0.1
APOBEC	0.993986344537815	50	0.1
APOBEC	0.99655987394958	50	0.1
APOBEC	0.997400210084034	50	0.1
APOBEC	0.994984243697479	50	0.1
APOBEC	0.994984243697479	50	0.1
APOBEC	0.995877100840336	50	0.1
APOBEC	0.999028361344538	50	0.1
APOBEC	0.992279411764706	50	0.1
APOBEC	0.995246848739496	50	0.1
APOBEC	0.99671743697479	50	0.1
APOBEC	0.996953781512605	50	0.1
APOBEC	0.998109243697479	50	0.1
