SBS1	SBS2	SBS3	SBS5	SBS13	SBS18	SBS30	SBS34	SBS41
TCGA-LD-A66U-01A-11D-A31U-09	0.0885901343251049	0.0380280966773828	0	0.678300747956308	0	0.195081021041204	0	0	0
TCGA-AR-A0U2-01A-11D-A10G-09	0.0417469659379359	0.0261579522422441	0.27454179037703	0.336226128071559	0	0.125652710496839	0.0214514273407489	0	0.174223025533643
TCGA-EW-A1OV-01A-11D-A142-09	0	0.537401374703152	0	0.10756066981031	0.292414553646771	0	0	0	0.0626234018397657
TCGA-AR-A0TR-01A-11D-A099-09	0.10411505989346	0	0.220946035774885	0.421274946032174	0	0	0.135357616004568	0	0.118306342294913
TCGA-AO-A0JA-01A-11W-A071-09	0	0.461336656933017	0.288290657719123	0.0419254003103687	0	0.130205499287832	0	0	0.0782417857496599
TCGA-A7-A13F-01A-11D-A12Q-09	0.132576472364613	0	0	0.752746951987181	0.102871050357069	0	0.0118055252911367	0	0
TCGA-AC-A8OP-01A-11D-A36J-09	0.0754138597237196	0.0574090902737182	0.224266188070124	0.313398683588065	0.0392671570846931	0.184249409250548	0	0	0.105995612009133
TCGA-AO-A0J3-01A-11W-A050-09	0.07252619140775	0.164577052681633	0	0.224985785260092	0.0780561939883706	0.250365548851571	0.0996913003471179	0	0.109797927463465
TCGA-A7-A6VW-01A-21D-A33E-09	0	0	0.409267177668128	0.344162411368786	0.0179998493810421	0	0.040074523290033	0.0436655577657133	0.144830480526297
TCGA-A7-A6VX-01A-12D-A33E-09	0	0.143153930154028	0.660913515145534	0.0303547829901359	0.0554809784578094	0.0411274109452364	0.0416025103157403	0	0.0273668719915161
TCGA-A8-A07O-01A-11W-A019-09	0.0968732369091919	0.23790704627558	0.270125740677413	0.31369371553822	0	0.0814002605995952	0	0	0
TCGA-A8-A06Z-01A-11W-A019-09	0	0.0102302975260915	0.54806936768028	0.334060344218802	0	0.107639990574826	0	0	0
TCGA-B6-A0I1-01A-11D-A21Q-09	0	0.0711567892683436	0.0459925870149914	0.83782134023954	0	0.0450292834771249	0	0	0
TCGA-B6-A40C-01A-11D-A23C-09	0.191610238031586	0.0964707019931735	0.417232790326794	2.96432835223147e-08	0	0.198877520397644	0.0958087196075195	0	0
TCGA-B6-A0RV-01A-11D-A099-09	0	0.424946128361165	0	0.166176294867928	0.408877576770907	0	0	0	0
TCGA-A2-A1FV-01A-11D-A13L-09	0.174759226129324	0.164045380452363	0	0.471581908501856	0	0	0.189613484916457	0	0
TCGA-D8-A27T-01A-11D-A16D-09	0.144644700673248	0.198211386424491	0	0.482312688426281	0	0.0500449339556207	0	0	0.12478629052036
TCGA-C8-A12K-01A-21D-A10Y-09	0	0.0890588918762703	0.611690774637488	0	0.280478390295709	0	0	0	0.0187719431905331
TCGA-BH-A18S-01A-11D-A12B-09	0.0458080196972269	0	0.806289220072447	0	0	0.064550896580149	0.0253858338256558	0	0.0579660298245209
TCGA-A2-A0YJ-01A-11D-A10G-09	0.0896479214595203	0	0.377110665509543	0.472842345925215	0	0.0603990671057217	0	0	0
TCGA-AO-A03V-01A-11D-A10Y-09	0	0.117132089398516	0.312745529676176	0.296974315870002	0	0.135919882430322	0.0642984528910712	0	0.0729297297339129
TCGA-BH-A0GY-01A-11W-A071-09	0.0294169347702425	0.0347050541650567	0.191116103366936	0.62886764453302	0	0.115894263164745	0	0	0
TCGA-AR-A0TP-01A-11D-A099-09	0	0	0.754443234566398	0.0588049030300208	0	0.0421370344778002	0.0604949862002166	0	0.0841198417255642
TCGA-E9-A1NG-01A-21D-A14K-09	0	0	0.177123335072918	0.516334556484173	0	0.20347829286224	0.103063815580669	0	0
TCGA-C8-A134-01A-11D-A10Y-09	0	0	0.388304623542869	0.390516807174215	0.0468946936255958	0.17428387565732	0	0	0
TCGA-AC-A5EH-01A-11D-A28B-09	0.0273646163319752	0.0740205308555601	0.489119038128044	0.211817395068716	0.0522387021661166	0.102896363208005	0	0	0.0425433542415827
TCGA-C8-A27B-01A-11D-A167-09	0	0.0894166852161536	0.456158076627877	0	0.43203103674695	0	0	0	0.0223942014090195
TCGA-AC-A23E-01A-11D-A159-09	0.23227255078194	0	0	0.550108894718488	0	0.169368298086195	0.0482502564133765	0	0
